	Systematic.name	cluster	cluster.size
Transcriptional regulator in cluster with unspecified monosaccharide ABC transport system	Transcriptional regulator in cluster with unspecified monosaccharide ABC transport system	3	31
Trehalose-6-phosphate hydrolase (EC 3.2.1.93)	Trehalose-6-phosphate hydrolase (EC 3.2.1.93)	3	31
PTS system, lactose-specific IIC component (EC 2.7.1.69)	PTS system, lactose-specific IIC component (EC 2.7.1.69)	4	2
Putative ribose uptake protein RbsU, GRP transporter family (TC 2.A.7.5)	Putative ribose uptake protein RbsU, GRP transporter family (TC 2.A.7.5)	3	31
Trehalose operon transcriptional repressor	Trehalose operon transcriptional repressor	3	31
Membrane-associated zinc metalloprotease	Membrane-associated zinc metalloprotease	5	141
Pyruvate kinase (EC 2.7.1.40)	Pyruvate kinase (EC 2.7.1.40)	5	141
Thymidine kinase (EC 2.7.1.21)	Thymidine kinase (EC 2.7.1.21)	5	141
ATP-dependent hsl protease ATP-binding subunit HslU	ATP-dependent hsl protease ATP-binding subunit HslU	5	141
ATP-dependent RNA helicase YqfR	ATP-dependent RNA helicase YqfR	5	141
FIG007079: UPF0348 protein family	FIG007079: UPF0348 protein family	5	141
Nucleotidase YfbR, HD superfamily	Nucleotidase YfbR, HD superfamily	5	141
Phosphoesterase, DHH family protein	Phosphoesterase, DHH family protein	5	141
RNA methyltransferase, TrmA family	RNA methyltransferase, TrmA family	5	141
Transcription regulator [contains diacylglycerol kinase catalytic domain]	Transcription regulator [contains diacylglycerol kinase catalytic domain]	5	141
GTP cyclohydrolase II (EC 3.5.4.25)	GTP cyclohydrolase II (EC 3.5.4.25)	6	4
Alanine racemase (EC 5.1.1.1)	Alanine racemase (EC 5.1.1.1)	5	141
Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	5	141
Carbon starvation protein A	Carbon starvation protein A	1	372
Cation ABC transporter, periplasmic cation-binding protein, PA2407 homolog	Cation ABC transporter, periplasmic cation-binding protein, PA2407 homolog	1	372
Outer membrane protein A precursor	Outer membrane protein A precursor	1	372
Predicted cobalt ABC transporter periplasmic component	Predicted cobalt ABC transporter periplasmic component	1	372
V-type ATP synthase subunit E (EC 3.6.3.14)	V-type ATP synthase subunit E (EC 3.6.3.14)	1	372
Cysteine desulfurase (EC 2.8.1.7)	Cysteine desulfurase (EC 2.8.1.7)	5	141
Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)	Putrescine transport ATP-binding protein PotA (TC 3.A.1.11.1)	5	141
Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1)	Spermidine Putrescine ABC transporter permease component potC (TC_3.A.1.11.1)	5	141
Thymidylate kinase (EC 2.7.4.9)	Thymidylate kinase (EC 2.7.4.9)	5	141
DNA-binding protein HU-alpha	DNA-binding protein HU-alpha	1	372
macromolecule synthesis, modification	macromolecule synthesis, modification	1	372
Prephenate dehydratase (EC 4.2.1.51)	Prephenate dehydratase (EC 4.2.1.51)	1	372
Protein of unknown function DUF156	Protein of unknown function DUF156	1	372
Transaldolase (EC 2.2.1.2)	Transaldolase (EC 2.2.1.2)	1	372
Uncharacterized ABC transporter, periplasmic component YrbD	Uncharacterized ABC transporter, periplasmic component YrbD	1	372
Dihydrolipoamide dehydrogenase of acetoin dehydrogenase (EC 1.8.1.4)	Dihydrolipoamide dehydrogenase of acetoin dehydrogenase (EC 1.8.1.4)	7	2
Putative deoxyribose-specific ABC transporter, permease protein	Putative deoxyribose-specific ABC transporter, permease protein	8	4
fig|226185.1.peg.274	fig|226185.1.peg.274	9	2
Dethiobiotin synthetase (EC 6.3.3.3)	Dethiobiotin synthetase (EC 6.3.3.3)	1	372
RNA polymerase sigma factor RpoS	RNA polymerase sigma factor RpoS	1	372
Beta-lactamase class C and other penicillin binding proteins	Beta-lactamase class C and other penicillin binding proteins	5	141
FIG001721: Predicted N6-adenine-specific DNA methylase	FIG001721: Predicted N6-adenine-specific DNA methylase	5	141
Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	Fumarate reductase flavoprotein subunit (EC 1.3.99.1)	5	141
DNA ligase (EC 6.5.1.2)	DNA ligase (EC 6.5.1.2)	5	141
Guanylate kinase (EC 2.7.4.8)	Guanylate kinase (EC 2.7.4.8)	5	141
Methionyl-tRNA formyltransferase (EC 2.1.2.9)	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	5	141
Phosphate starvation-inducible protein PhoH, predicted ATPase	Phosphate starvation-inducible protein PhoH, predicted ATPase	5	141
Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)	Undecaprenyl pyrophosphate synthetase (EC 2.5.1.31)	5	141
RNA polymerase sporulation specific sigma factor SigH	RNA polymerase sporulation specific sigma factor SigH	1	372
DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6)	10	12
LSU ribosomal protein L4p (L1e)	LSU ribosomal protein L4p (L1e)	10	12
Uncharacterized ABC transporter, permease component YrbE	Uncharacterized ABC transporter, permease component YrbE	1	372
DNA-entry nuclease (Competence-specific nuclease) (EC 3.1.30.-)	DNA-entry nuclease (Competence-specific nuclease) (EC 3.1.30.-)	5	141
Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	Oligopeptide transport ATP-binding protein OppD (TC 3.A.1.5.1)	5	141
Zn-dependent hydrolase (beta-lactamase superfamily)	Zn-dependent hydrolase (beta-lactamase superfamily)	5	141
FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	1	372
diglucosyldiacylglycerol synthase (LTA membrane anchor synthesis)	diglucosyldiacylglycerol synthase (LTA membrane anchor synthesis)	1	372
Phosphoglycerol transferase I (EC 2.7.8.20)	Phosphoglycerol transferase I (EC 2.7.8.20)	1	372
Sodium/glycine symporter GlyP	Sodium/glycine symporter GlyP	1	372
Branched-chain amino acid aminotransferase (EC 2.6.1.42)	Branched-chain amino acid aminotransferase (EC 2.6.1.42)	1	372
Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	Dipeptide transport system permease protein DppB (TC 3.A.1.5.2)	1	372
Alpha-glucosidase SusB (EC 3.2.1.20)	Alpha-glucosidase SusB (EC 3.2.1.20)	1	372
Na(+)-translocating NADH-quinone reductase subunit B (EC 1.6.5.-)	Na(+)-translocating NADH-quinone reductase subunit B (EC 1.6.5.-)	1	372
Cytoplasmic alpha-amylase (EC 3.2.1.1)	Cytoplasmic alpha-amylase (EC 3.2.1.1)	1	372
SusC, outer membrane protein involved in starch binding	SusC, outer membrane protein involved in starch binding	1	372
COG2152 predicted glycoside hydrolase	COG2152 predicted glycoside hydrolase	1	372
Phosphoserine aminotransferase (EC 2.6.1.52)	Phosphoserine aminotransferase (EC 2.6.1.52)	1	372
Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)	Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)	1	372
Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)	Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)	1	372
Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	1	372
YjeF protein, function unknown	YjeF protein, function unknown	1	372
Zinc uptake regulation protein ZUR	Zinc uptake regulation protein ZUR	1	372
Phosphonate ABC transporter ATP-binding protein (TC 3.A.1.9.1)	Phosphonate ABC transporter ATP-binding protein (TC 3.A.1.9.1)	3	31
Teichoic acid glycosylation protein	Teichoic acid glycosylation protein	3	31
Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	1	372
Translation elongation factor G-related protein	Translation elongation factor G-related protein	1	372
Lipoprotein releasing system transmembrane protein LolE	Lipoprotein releasing system transmembrane protein LolE	1	372
Na(+)-translocating NADH-quinone reductase subunit D (EC 1.6.5.-)	Na(+)-translocating NADH-quinone reductase subunit D (EC 1.6.5.-)	1	372
Transcription antitermination protein UpdY	Transcription antitermination protein UpdY	1	372
Na(+)-translocating NADH-quinone reductase subunit E (EC 1.6.5.-)	Na(+)-translocating NADH-quinone reductase subunit E (EC 1.6.5.-)	1	372
NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain L (EC 1.6.5.3)	1	372
Putative glycogen debranching enzyme, archaeal type, TIGR01561	Putative glycogen debranching enzyme, archaeal type, TIGR01561	1	372
Ornithine carbamoyltransferase (EC 2.1.3.3)	Ornithine carbamoyltransferase (EC 2.1.3.3)	11	2
Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	1	372
Carbamate kinase (EC 2.7.2.2)	Carbamate kinase (EC 2.7.2.2)	12	2
Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	Ascorbate-specific PTS system, EIIA component (EC 2.7.1.-)	13	8
Internalin-like protein (LPXTG motif) Lmo2396 homolog	Internalin-like protein (LPXTG motif) Lmo2396 homolog	13	8
Thiamine biosynthesis protein thiI	Thiamine biosynthesis protein thiI	13	8
UDP-glucose:(glucosyl)lipopolysaccharide alpha-1,2-glucosyltransferase (EC 2.4.1.58)	UDP-glucose:(glucosyl)lipopolysaccharide alpha-1,2-glucosyltransferase (EC 2.4.1.58)	13	8
Aspartate racemase (EC 5.1.1.13)	Aspartate racemase (EC 5.1.1.13)	5	141
Lon-like protease with PDZ domain	Lon-like protease with PDZ domain	5	141
Oligo-1,6-glucosidase (EC 3.2.1.10)	Oligo-1,6-glucosidase (EC 3.2.1.10)	5	141
Ribonuclease Z (EC 3.1.26.11)	Ribonuclease Z (EC 3.1.26.11)	5	141
Dimethyladenosine transferase (EC 2.1.1.-)	Dimethyladenosine transferase (EC 2.1.1.-)	5	141
Peptide chain release factor 3	Peptide chain release factor 3	5	141
Phosphatidate cytidylyltransferase (EC 2.7.7.41)	Phosphatidate cytidylyltransferase (EC 2.7.7.41)	5	141
Prolyl-tRNA synthetase (EC 6.1.1.15)	Prolyl-tRNA synthetase (EC 6.1.1.15)	5	141
Pyruvate,phosphate dikinase (EC 2.7.9.1)	Pyruvate,phosphate dikinase (EC 2.7.9.1)	14	3
Dihydroorotase (EC 3.5.2.3)	Dihydroorotase (EC 3.5.2.3)	15	2
Proofreading thioesterase in enterobactin biosynthesis EntH	Proofreading thioesterase in enterobactin biosynthesis EntH	1	372
DNA-binding heavy metal response regulator	DNA-binding heavy metal response regulator	5	141
Lipoteichoic acid synthase LtaS Type IIb	Lipoteichoic acid synthase LtaS Type IIb	5	141
Manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1)	Manganese-dependent inorganic pyrophosphatase (EC 3.6.1.1)	5	141
Putative pheromone cAM373 precursor lipoprotein CamS	Putative pheromone cAM373 precursor lipoprotein CamS	5	141
Small protein similar to cysteinyl-tRNA synthetase	Small protein similar to cysteinyl-tRNA synthetase	5	141
Zn-dependent hydrolase, RNA-metabolising, CPSF 73 kDa analog	Zn-dependent hydrolase, RNA-metabolising, CPSF 73 kDa analog	5	141
ATP synthase A chain (EC 3.6.3.14)	ATP synthase A chain (EC 3.6.3.14)	16	2
COG0536: GTP-binding protein Obg	COG0536: GTP-binding protein Obg	17	8
DNA repair exonuclease family protein YhaO	DNA repair exonuclease family protein YhaO	17	8
Transcription termination factor Rho	Transcription termination factor Rho	1	372
High-affinity gluconate transporter GntT	High-affinity gluconate transporter GntT	1	372
Periplasmic [Fe] hydrogenase large subunit (EC 1.12.7.2)	Periplasmic [Fe] hydrogenase large subunit (EC 1.12.7.2)	1	372
Putative amino-acid transport protein	Putative amino-acid transport protein	1	372
Hcp transcriptional regulator HcpR (Crp/Fnr family)	Hcp transcriptional regulator HcpR (Crp/Fnr family)	1	372
Stage II sporulation protein D (SpoIID)	Stage II sporulation protein D (SpoIID)	1	372
Cell division protein GpsB, coordinates the switch between cylindrical and septal cell wall synthesis by re-localization of PBP1	Cell division protein GpsB, coordinates the switch between cylindrical and septal cell wall synthesis by re-localization of PBP1	5	141
Cell division protein YlmG/Ycf19 (putative), YggT family	Cell division protein YlmG/Ycf19 (putative), YggT family	5	141
Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2 (as in PMID19099556)	Cell envelope-associated transcriptional attenuator LytR-CpsA-Psr, subfamily F2 (as in PMID19099556)	5	141
Chromosome replication initiation protein dnaD	Chromosome replication initiation protein dnaD	5	141
D-alanyl transfer protein DltB	D-alanyl transfer protein DltB	5	141
DNA replication intiation control protein YabA	DNA replication intiation control protein YabA	5	141
Foldase clustered with pyrimidine conversion	Foldase clustered with pyrimidine conversion	5	141
Hydrolase in cluster with beta-lactamase (HAD superfamily)	Hydrolase in cluster with beta-lactamase (HAD superfamily)	5	141
Hypothetical protein SAV1839	Hypothetical protein SAV1839	5	141
Phosphate regulon transcriptional regulatory protein PhoB	Phosphate regulon transcriptional regulatory protein PhoB	5	141
Poly(glycerophosphate chain) D-alanine transfer protein DltD	Poly(glycerophosphate chain) D-alanine transfer protein DltD	5	141
UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase (EC 6.3.2.7)	UDP-N-acetylmuramoylalanyl-D-glutamate--L-lysine ligase (EC 6.3.2.7)	5	141
Xaa-Pro dipeptidyl-peptidase (EC 3.4.14.11)	Xaa-Pro dipeptidyl-peptidase (EC 3.4.14.11)	5	141
Maltodextrin glucosidase (EC 3.2.1.20)	Maltodextrin glucosidase (EC 3.2.1.20)	5	141
Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YhcT type	Similar to ribosomal large subunit pseudouridine synthase D, Bacillus subtilis YhcT type	5	141
UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	UTP--glucose-1-phosphate uridylyltransferase (EC 2.7.7.9)	5	141
L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1)	L-proline glycine betaine ABC transport system permease protein ProV (TC 3.A.1.12.1)	18	4
Putative transcriptional regulator of sorbose uptake and utilization genes	Putative transcriptional regulator of sorbose uptake and utilization genes	18	4
Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	1	372
Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	1	372
Integral membrane protein LafC, accessory function in glycolipid and LTA synthesis	Integral membrane protein LafC, accessory function in glycolipid and LTA synthesis	5	141
Late competence protein ComEC, DNA transport	Late competence protein ComEC, DNA transport	5	141
Lipoteichoic acid synthase LtaS Type IIa	Lipoteichoic acid synthase LtaS Type IIa	5	141
Site-specific tyrosine recombinase	Site-specific tyrosine recombinase	5	141
FIG015094: hypothetical protein	FIG015094: hypothetical protein	5	141
Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1)	Spermidine Putrescine ABC transporter permease component PotB (TC 3.A.1.11.1)	5	141
Multiple sugar ABC transporter, ATP-binding protein	Multiple sugar ABC transporter, ATP-binding protein	19	2
Predicted thiamin transporter PnuT	Predicted thiamin transporter PnuT	1	372
Rrf2 family transcriptional regulator	Rrf2 family transcriptional regulator	1	372
Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10)	Geranyltranstransferase (farnesyldiphosphate synthase) (EC 2.5.1.10)	20	4
Glutamate transport ATP-binding protein	Glutamate transport ATP-binding protein	20	4
Two-component response regulator YvcP	Two-component response regulator YvcP	20	4
PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69)	PTS system, maltose and glucose-specific IIC component (EC 2.7.1.69)	21	3
Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	Dipeptide transport system permease protein DppC (TC 3.A.1.5.2)	1	372
Polyphosphate kinase (EC 2.7.4.1)	Polyphosphate kinase (EC 2.7.4.1)	1	372
S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1B	S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1B	1	372
Nucleotide excision repair protein, with UvrB/UvrC motif	Nucleotide excision repair protein, with UvrB/UvrC motif	1	372
Serine acetyltransferase (EC 2.3.1.30)	Serine acetyltransferase (EC 2.3.1.30)	1	372
O-succinylbenzoate-CoA synthase (EC 4.2.1.-)	O-succinylbenzoate-CoA synthase (EC 4.2.1.-)	1	372
COG1649 predicted glycoside hydrolase	COG1649 predicted glycoside hydrolase	1	372
Ribosylnicotinamide kinase (EC 2.7.1.22)	Ribosylnicotinamide kinase (EC 2.7.1.22)	1	372
V-type ATP synthase subunit K (EC 3.6.3.14)	V-type ATP synthase subunit K (EC 3.6.3.14)	1	372
FIG004453: protein YceG like	FIG004453: protein YceG like	22	2
Tyrosine-protein kinase Wzc (EC 2.7.10.2)	Tyrosine-protein kinase Wzc (EC 2.7.10.2)	1	372
Cell division protein FtsL	Cell division protein FtsL	5	141
Glycosyltransferase LafB, responsible for the formation of Gal-Glc-DAG	Glycosyltransferase LafB, responsible for the formation of Gal-Glc-DAG	5	141
Helicase loader DnaI	Helicase loader DnaI	5	141
HPr kinase/phosphorylase (EC 2.7.1.-) (EC 2.7.4.-)	HPr kinase/phosphorylase (EC 2.7.1.-) (EC 2.7.4.-)	5	141
NAD synthetase (EC 6.3.1.5)	NAD synthetase (EC 6.3.1.5)	5	141
Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	Phosphoenolpyruvate-protein phosphotransferase of PTS system (EC 2.7.3.9)	5	141
Recombination protein RecU	Recombination protein RecU	5	141
DNA-directed RNA polymerase delta subunit (EC 2.7.7.6)	DNA-directed RNA polymerase delta subunit (EC 2.7.7.6)	5	141
Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)	Glycerol-3-phosphate ABC transporter, ATP-binding protein UgpC (TC 3.A.1.1.3)	5	141
Glycerol-3-phosphate ABC transporter, permease protein UgpE (TC 3.A.1.1.3)	Glycerol-3-phosphate ABC transporter, permease protein UgpE (TC 3.A.1.1.3)	5	141
Purine trans deoxyribosylase (Nucleoside deoxyribosyltransferase-I) (EC 2.4.2.6)	Purine trans deoxyribosylase (Nucleoside deoxyribosyltransferase-I) (EC 2.4.2.6)	5	141
Transcriptional regulator SpxA1	Transcriptional regulator SpxA1	5	141
YjeF protein, C-terminal domain	YjeF protein, C-terminal domain	5	141
Cell division protein FtsQ	Cell division protein FtsQ	5	141
tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)	tRNA-specific adenosine-34 deaminase (EC 3.5.4.-)	5	141
LSU ribosomal protein L2p (L8e)	LSU ribosomal protein L2p (L8e)	5	141
Replicative DNA helicase (EC 3.6.1.-) [SA14-24]	Replicative DNA helicase (EC 3.6.1.-) [SA14-24]	5	141
D-alanine--poly(phosphoribitol) ligase subunit 2 (EC 6.1.1.13)	D-alanine--poly(phosphoribitol) ligase subunit 2 (EC 6.1.1.13)	5	141
Heme efflux system permease HrtB	Heme efflux system permease HrtB	5	141
Multidrug efflux transporter MdtP	Multidrug efflux transporter MdtP	5	141
LSU ribosomal protein L5p (L11e)	LSU ribosomal protein L5p (L11e)	23	3
Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)	Lysine-arginine-ornithine-binding periplasmic protein precursor (TC 3.A.1.3.1)	1	372
Phytoene desaturase (EC 1.14.99.-)	Phytoene desaturase (EC 1.14.99.-)	1	372
Dihydroxyacetone kinase family protein	Dihydroxyacetone kinase family protein	5	141
Thiazole biosynthesis protein ThiH	Thiazole biosynthesis protein ThiH	1	372
Sugar/maltose fermentation stimulation protein homolog	Sugar/maltose fermentation stimulation protein homolog	24	2
NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	NADH-ubiquinone oxidoreductase chain N (EC 1.6.5.3)	1	372
FIG003307: hypothetical protein	FIG003307: hypothetical protein	1	372
Glycosyltransferase LafA, responsible for the formation of Glc-DAG	Glycosyltransferase LafA, responsible for the formation of Glc-DAG	5	141
Ribonuclease HIII (EC 3.1.26.4)	Ribonuclease HIII (EC 3.1.26.4)	1	372
Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	Pyrroline-5-carboxylate reductase (EC 1.5.1.2)	1	372
DNA repair protein RadC	DNA repair protein RadC	5	141
DNA repair protein RecN	DNA repair protein RecN	5	141
Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	5	141
FIG001802: Putative alkaline-shock protein	FIG001802: Putative alkaline-shock protein	5	141
Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-)	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-)	5	141
Glucan 1,6-alpha-glucosidase (EC 3.2.1.70)	Glucan 1,6-alpha-glucosidase (EC 3.2.1.70)	5	141
Vitamin B12 ABC transporter, B12-binding component BtuF	Vitamin B12 ABC transporter, B12-binding component BtuF	25	2
Lysine/cadaverine antiporter membrane protein CadB	Lysine/cadaverine antiporter membrane protein CadB	26	2
FIG000233: metal-dependent hydrolase	FIG000233: metal-dependent hydrolase	5	141
Histidinol-phosphate aminotransferase (EC 2.6.1.9)	Histidinol-phosphate aminotransferase (EC 2.6.1.9)	1	372
Na+/H+ antiporter NhaD type	Na+/H+ antiporter NhaD type	1	372
Pantothenate kinase type II, eukaryotic (EC 2.7.1.33)	Pantothenate kinase type II, eukaryotic (EC 2.7.1.33)	1	372
Predicted cobalt transporter in Bacteroides_Porphyromonas	Predicted cobalt transporter in Bacteroides_Porphyromonas	1	372
Phosphatidylserine decarboxylase (EC 4.1.1.65)	Phosphatidylserine decarboxylase (EC 4.1.1.65)	1	372
Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)	Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)	1	372
Multiple sugar ABC transporter, substrate-binding protein	Multiple sugar ABC transporter, substrate-binding protein	1	372
DNA polymerase III delta prime subunit (EC 2.7.7.7)	DNA polymerase III delta prime subunit (EC 2.7.7.7)	5	141
NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)	NADH-dependent butanol dehydrogenase A (EC 1.1.1.-)	1	372
V-type ATP synthase subunit F (EC 3.6.3.14)	V-type ATP synthase subunit F (EC 3.6.3.14)	1	372
Substrate-specific component BioY of biotin ECF transporter	Substrate-specific component BioY of biotin ECF transporter	1	372
Riboflavin synthase alpha chain (EC 2.5.1.9)	Riboflavin synthase alpha chain (EC 2.5.1.9)	6	4
Septum formation protein Maf	Septum formation protein Maf	1	372
FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type	FIG146085: 3'-to-5' oligoribonuclease A, Bacillus type	5	141
GTP-binding protein YqeH, possibly involved in replication initiation	GTP-binding protein YqeH, possibly involved in replication initiation	27	2
Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	Dipeptide-binding ABC transporter, periplasmic substrate-binding component (TC 3.A.1.5.2)	1	372
Predicted regulator of fructose utilization, DeoR family	Predicted regulator of fructose utilization, DeoR family	1	372
Mevalonate kinase (EC 2.7.1.36)	Mevalonate kinase (EC 2.7.1.36)	28	2
FIG000859: hypothetical protein	FIG000859: hypothetical protein	29	4
UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	29	4
N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	5	141
Topoisomerase IV subunit B (EC 5.99.1.-)	Topoisomerase IV subunit B (EC 5.99.1.-)	5	141
Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	17	8
Phosphoglucosamine mutase (EC 5.4.2.10)	Phosphoglucosamine mutase (EC 5.4.2.10)	17	8
Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)	5	141
YbbL ABC transporter ATP-binding protein	YbbL ABC transporter ATP-binding protein	30	2
Trehalose phosphorylase (EC 2.4.1.64)	Trehalose phosphorylase (EC 2.4.1.64)	5	141
N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein	N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein	1	372
Pyrophosphate-specific outer membrane porin OprO	Pyrophosphate-specific outer membrane porin OprO	1	372
Putative deoxyribonuclease YcfH	Putative deoxyribonuclease YcfH	10	12
Translation initiation factor 3	Translation initiation factor 3	10	12
Protein of unknown function DUF1447	Protein of unknown function DUF1447	5	141
Excinuclease ABC subunit B	Excinuclease ABC subunit B	31	2
Rod shape-determining protein MreD	Rod shape-determining protein MreD	5	141
Glutamate 5-kinase (EC 2.7.2.11)	Glutamate 5-kinase (EC 2.7.2.11)	32	2
TonB-dependent siderophore receptor	TonB-dependent siderophore receptor	1	372
Putative Holliday junction resolvase (EC 3.1.-.-)	Putative Holliday junction resolvase (EC 3.1.-.-)	29	4
Phosphate:acyl-ACP acyltransferase PlsX	Phosphate:acyl-ACP acyltransferase PlsX	5	141
Membrane proteins related to metalloendopeptidases	Membrane proteins related to metalloendopeptidases	1	372
Phosphomevalonate kinase (EC 2.7.4.2)	Phosphomevalonate kinase (EC 2.7.4.2)	5	141
Segregation and condensation protein B	Segregation and condensation protein B	5	141
Late competence protein ComEA, DNA receptor	Late competence protein ComEA, DNA receptor	5	141
Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)	Ribosomal large subunit pseudouridine synthase D (EC 4.2.1.70)	33	2
RNA polymerase sigma factor RpoE	RNA polymerase sigma factor RpoE	34	3
Predicted L-lactate dehydrogenase, Iron-sulfur cluster-binding subunit YkgF	Predicted L-lactate dehydrogenase, Iron-sulfur cluster-binding subunit YkgF	1	372
Predicted PTS system, galactosamine-specific IIC component (EC 2.7.1.69)	Predicted PTS system, galactosamine-specific IIC component (EC 2.7.1.69)	35	2
RecD-like DNA helicase YrrC	RecD-like DNA helicase YrrC	36	2
Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)	Galactose-6-phosphate isomerase, LacB subunit (EC 5.3.1.26)	37	6
Lactose phosphotransferase system repressor	Lactose phosphotransferase system repressor	37	6
PTS system, galactose-specific IIB component (EC 2.7.1.69)	PTS system, galactose-specific IIB component (EC 2.7.1.69)	37	6
Tagatose 1,6-bisphosphate aldolase (EC 4.1.2.40)	Tagatose 1,6-bisphosphate aldolase (EC 4.1.2.40)	37	6
LSU ribosomal protein L25p	LSU ribosomal protein L25p	1	372
Rubrerythrin	Rubrerythrin	1	372
Phosphoglycerate mutase (EC 5.4.2.1)	Phosphoglycerate mutase (EC 5.4.2.1)	38	2
Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)	Probable poly(beta-D-mannuronate) O-acetylase (EC 2.3.1.-)	39	2
LSU ribosomal protein L11p (L12e)	LSU ribosomal protein L11p (L12e)	5	141
hypothetical protein PA3071	hypothetical protein PA3071	1	372
Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	Hydroxymethylglutaryl-CoA synthase (EC 2.3.3.10)	40	2
Macrolide-specific efflux protein MacA	Macrolide-specific efflux protein MacA	1	372
Thymidine phosphorylase (EC 2.4.2.4)	Thymidine phosphorylase (EC 2.4.2.4)	41	2
Potassium voltage-gated channel subfamily KQT	Potassium voltage-gated channel subfamily KQT	3	31
